Name;Step;Drag;Lift;RecircArea;Jet0;Jet1
Simu_lift;99;-0.1586337;0.025574092;0.011429492;0.000474192451817;-0.000474192451817
Simu_lift;100;-0.15864141;0.026030708;0.011429492;0.00052536343348;-0.00052536343348
Simu_lift;101;-0.15862128;0.037490524;0.011420493;0.000571417316976;-0.000571417316976
Simu_lift;102;-0.15864144;0.037463497;0.011420493;0.000612865812122;-0.000612865812122
Simu_lift;103;-0.15863778;0.036968317;0.011463483;0.000650169457754;-0.000650169457754
Simu_lift;104;-0.15864575;0.036671627;0.011443655;0.000683742738822;-0.000683742738822
Simu_lift;105;-0.15865079;0.03641818;0.011443655;0.000713958691784;-0.000713958691784
Simu_lift;106;-0.15865974;0.036243252;0.011443655;0.00074115304945;-0.00074115304945
Simu_lift;107;-0.15866794;0.036110617;0.011443655;0.000765627971349;-0.000765627971349
Simu_lift;108;-0.15867838;0.036039345;0.011629051;0.000787655401058;-0.000787655401058
Simu_lift;109;-0.15868896;0.036008265;0.011629051;0.000807480087796;-0.000807480087796
Simu_lift;110;-0.158701;0.03602551;0.011629051;0.00082532230586;-0.00082532230586
Simu_lift;111;-0.15871347;0.036077973;0.011629051;0.000841380302118;-0.000841380302118
Simu_lift;112;-0.15872703;0.03616871;0.01166811;0.00085583249875;-0.00085583249875
Simu_lift;113;-0.15874113;0.036289178;0.01166811;0.000868839475719;-0.000868839475719
Simu_lift;114;-0.1587561;0.036440033;0.011615762;0.000880545754991;-0.000880545754991
Simu_lift;115;-0.15877163;0.036615435;0.011611472;0.000891081406336;-0.000891081406336
Simu_lift;116;-0.15878789;0.036814954;0.011611472;0.000900563492546;-0.000900563492546
Simu_lift;117;-0.1588047;0.037034437;0.011590564;0.000909097370136;-0.000909097370136
Simu_lift;118;-0.15882216;0.03727299;0.011632542;0.000916777859966;-0.000916777859966
Simu_lift;119;-0.15884015;0.03752758;0.011632542;0.000923690300813;-0.000923690300813
Simu_lift;120;-0.1588587;0.03779716;0.011660113;0.000929911497576;-0.000929911497576
Simu_lift;121;-0.15887776;0.038079455;0.011660113;0.000935510574662;-0.000935510574662
Simu_lift;122;-0.15889733;0.038373437;0.011660113;0.00094054974404;-0.00094054974404
Simu_lift;123;-0.15891737;0.03867735;0.011717939;0.00094508499648;-0.00094508499648
Simu_lift;124;-0.15893789;0.03899025;0.011717939;0.000949166723676;-0.000949166723676
Simu_lift;125;-0.15895884;0.039310776;0.011649433;0.000952840278152;-0.000952840278152
